feature,importance
Current_Delay_Min,3495
Delay_Propagation_Index,1993
Section_Run_Time_Min,1632
Congestion_Index,1536
Weather_Severity,1467
Priority_Weight,1306
Gradient_Stress,1029
Sectional_Gradient_Pct,938
Preceding_Headway_Min,937
Outer_Signal_Queue_Depth,881
Section_Distance_KM,873
Platform_Occupancy_State,732
Headway_Deficit,731
Time_Sin,694
Time_Cos,692
Infrastructure_Failure,608
Current_Time_Min,514
Scheduled_Departure_Min,511
Weather,149
Scheduled_Dwell_Min,112
Max_Permissible_Speed,103
Train_Length_M,89
Train_Type,64
Freight_Surge,64
